user,item,rating,context factors
http://example.org/User#0,http://example.org/Restaurant#1,1.0,['http://example.org/ContextFactor#s1']
http://example.org/User#0,http://example.org/Restaurant#1,2.0,['http://example.org/ContextFactor#s2']
http://example.org/User#0,http://example.org/Restaurant#1,1.0,['http://example.org/ContextFactor#s3']
http://example.org/User#0,http://example.org/Restaurant#1,1.0,['http://example.org/ContextFactor#s4']
http://example.org/User#0,http://example.org/Restaurant#1,1.0,['http://example.org/ContextFactor#s5']
http://example.org/User#0,http://example.org/Restaurant#1,1.0,['http://example.org/ContextFactor#s6']
http://example.org/User#1,http://example.org/Restaurant#1,5.0,['http://example.org/ContextFactor#s1']
http://example.org/User#1,http://example.org/Restaurant#1,5.0,['http://example.org/ContextFactor#s3']
http://example.org/User#1,http://example.org/Restaurant#1,5.0,['http://example.org/ContextFactor#s4']
http://example.org/User#1,http://example.org/Restaurant#1,5.0,['http://example.org/ContextFactor#s6']
http://example.org/User#4,http://example.org/Restaurant#1,5.0,['http://example.org/ContextFactor#s4']
http://example.org/User#5,http://example.org/Restaurant#1,4.0,['http://example.org/ContextFactor#s3']
http://example.org/User#5,http://example.org/Restaurant#1,4.0,['http://example.org/ContextFactor#s6']
http://example.org/User#7,http://example.org/Restaurant#1,5.0,['http://example.org/ContextFactor#s4']
http://example.org/User#1,http://example.org/Restaurant#1,2.0,['http://example.org/ContextFactor#s1']
http://example.org/User#1,http://example.org/Restaurant#1,2.0,['http://example.org/ContextFactor#s2']
http://example.org/User#1,http://example.org/Restaurant#1,2.0,['http://example.org/ContextFactor#s3']
http://example.org/User#1,http://example.org/Restaurant#1,5.0,['http://example.org/ContextFactor#s4']
http://example.org/User#1,http://example.org/Restaurant#1,3.0,['http://example.org/ContextFactor#s5']
http://example.org/User#1,http://example.org/Restaurant#1,1.0,['http://example.org/ContextFactor#s6']
http://example.org/User#11,http://example.org/Restaurant#1,5.0,['http://example.org/ContextFactor#s4']
http://example.org/User#14,http://example.org/Restaurant#1,5.0,['http://example.org/ContextFactor#s4']
http://example.org/User#18,http://example.org/Restaurant#1,5.0,['http://example.org/ContextFactor#s1']
http://example.org/User#2,http://example.org/Restaurant#1,3.0,['http://example.org/ContextFactor#s1']
http://example.org/User#2,http://example.org/Restaurant#1,2.0,['http://example.org/ContextFactor#s2']
http://example.org/User#2,http://example.org/Restaurant#1,1.0,['http://example.org/ContextFactor#s3']
http://example.org/User#2,http://example.org/Restaurant#1,4.0,['http://example.org/ContextFactor#s4']
http://example.org/User#2,http://example.org/Restaurant#1,3.0,['http://example.org/ContextFactor#s5']
http://example.org/User#2,http://example.org/Restaurant#1,5.0,['http://example.org/ContextFactor#s6']
